user_id,item_id,rating,datetime,hour,is_weekend,is_holiday,click,cart,forward,buy
U00600,I0362,1,2025/3/24 11:13,11,0,0,1,0,0,0
U03098,I2581,2,2025/3/24 13:13,13,0,0,1,0,0,0
U01001,I1215,1,2025/3/25 8:13,8,0,0,1,0,1,0
U01156,I2212,2,2025/3/26 10:13,10,0,0,1,0,0,0
U03736,I2272,2,2025/3/26 13:13,13,0,0,1,0,0,0
U04602,I2029,2,2025/3/27 14:13,14,0,0,1,0,0,0
U02235,I2286,1,2025/3/28 2:13,2,0,0,1,0,0,0
U00812,I0772,3,2025/3/28 5:13,5,0,0,1,1,0,0
U04870,I2036,2,2025/3/28 9:13,9,0,0,1,0,0,0
U03022,I1679,2,2025/3/28 15:13,15,0,0,1,0,0,0
U04742,I3118,2,2025/3/28 15:13,15,0,0,1,0,1,0
U02352,I0772,1,2025/3/28 16:13,16,0,0,1,0,0,0
U00614,I0963,2,2025/3/28 16:13,16,0,0,1,0,0,0
U04084,I0613,1,2025/3/29 1:13,1,1,0,1,0,0,0
U03323,I2294,1,2025/3/30 1:13,1,1,0,1,0,0,0
U01328,I2956,3,2025/3/30 11:13,11,1,0,1,1,0,0
U01996,I0963,1,2025/3/30 13:13,13,1,0,1,0,0,0
U03204,I0918,1,2025/3/30 21:13,21,1,0,1,0,0,0
U02563,I2396,1,2025/3/30 21:13,21,1,0,1,0,0,0
U00636,I2652,1,2025/3/31 5:13,5,0,0,1,0,0,0
U02736,I2538,1,2025/3/31 12:13,12,0,0,1,0,0,0
U02864,I2440,2,2025/3/31 14:13,14,0,0,1,0,0,0
U03906,I0037,1,2025/3/31 19:13,19,0,0,1,0,0,0
U03222,I2941,3,2025/4/1 0:13,0,0,0,1,1,0,0
U04884,I0642,3,2025/4/1 6:13,6,0,0,1,1,0,0
U04129,I1333,1,2025/4/1 23:13,23,0,0,1,0,0,0
U00160,I1333,3,2025/4/2 6:13,6,0,0,1,1,1,0
U01071,I3151,3,2025/4/2 7:13,7,0,0,1,1,0,0
U01283,I2029,1,2025/4/2 11:13,11,0,0,1,0,0,0
U03007,I1261,2,2025/4/2 12:13,12,0,0,1,0,0,0
U03365,I0963,2,2025/4/2 14:13,14,0,0,1,0,0,0
U03052,I1333,2,2025/4/2 15:13,15,0,0,1,0,0,0
U00110,I1396,1,2025/4/2 19:13,19,0,0,1,0,0,0
U00060,I3001,3,2025/4/3 6:13,6,0,0,1,1,0,0
U03818,I2377,3,2025/4/3 7:13,7,0,0,1,1,0,0
U01094,I1679,1,2025/4/3 8:13,8,0,0,1,0,0,0
U04642,I2858,2,2025/4/3 9:13,9,0,0,1,0,0,0
U01171,I2757,2,2025/4/3 12:13,12,0,0,1,0,0,0
U02067,I0363,2,2025/4/3 14:13,14,0,0,1,0,0,0
U00407,I1543,1,2025/4/4 7:13,7,0,0,1,0,0,0
U02772,I0793,3,2025/4/4 8:13,8,0,0,1,1,0,0
U02508,I2317,1,2025/4/4 12:13,12,0,0,1,0,0,0
U01801,I2396,2,2025/4/4 14:13,14,0,0,1,0,0,0
U04713,I0613,2,2025/4/4 15:13,15,0,0,1,0,0,0
U04190,I3168,2,2025/4/5 1:13,1,1,0,1,0,0,0
U00161,I0642,1,2025/4/5 4:13,4,1,0,1,0,0,0
U02748,I2256,2,2025/4/5 7:13,7,1,0,1,0,0,0
U00306,I2858,3,2025/4/5 11:13,11,1,0,1,1,0,0
U04335,I2836,3,2025/4/5 12:13,12,1,0,1,1,0,0
U03656,I0098,1,2025/4/5 13:13,13,1,0,1,0,0,0
U03772,I0613,2,2025/4/5 15:13,15,1,0,1,0,0,0
U04518,I1781,2,2025/4/5 16:13,16,1,0,1,0,0,0
U04132,I3121,4,2025/4/6 0:13,0,1,0,1,1,0,1
U02012,I1599,3,2025/4/6 10:13,10,1,0,1,1,0,0
U01003,I1333,2,2025/4/6 11:13,11,1,0,1,0,0,0
U00368,I1175,2,2025/4/6 12:13,12,1,0,1,0,0,0
U00885,I1679,2,2025/4/7 5:13,5,0,0,1,0,0,0
U03622,I3238,2,2025/4/7 10:13,10,0,0,1,0,0,0
U02178,I0021,2,2025/4/7 13:13,13,0,0,1,0,0,0
U00809,I1143,1,2025/4/7 16:13,16,0,0,1,0,0,0
U04059,I1084,2,2025/4/8 1:13,1,0,0,1,0,1,0
U02135,I2820,2,2025/4/8 5:13,5,0,0,1,0,0,0
U03877,I3121,2,2025/4/8 5:13,5,0,0,1,0,0,0
U04647,I1609,2,2025/4/8 10:13,10,0,0,1,0,0,0
U02300,I3001,1,2025/4/8 14:13,14,0,0,1,0,0,0
U04720,I2256,1,2025/4/8 16:13,16,0,0,1,0,0,0
U02687,I2396,1,2025/4/8 20:13,20,0,0,1,0,0,0
U00259,I2452,1,2025/4/9 3:13,3,0,0,1,0,0,0
U03208,I0281,1,2025/4/9 4:13,4,0,0,1,0,0,0
U01874,I0209,1,2025/4/9 5:13,5,0,0,1,0,0,0
U02067,I2197,2,2025/4/9 6:13,6,0,0,1,0,0,0
U00271,I0809,1,2025/4/9 7:13,7,0,0,1,0,0,0
U04663,I2002,2,2025/4/9 8:13,8,0,0,1,0,0,0
U02133,I2652,3,2025/4/9 8:13,8,0,0,1,1,0,0
U03888,I3001,1,2025/4/9 10:13,10,0,0,1,0,0,0
U03153,I2581,2,2025/4/9 11:13,11,0,0,1,0,0,0
U01729,I0504,2,2025/4/9 13:13,13,0,0,1,0,0,0
U01162,I0963,2,2025/4/9 15:13,15,0,0,1,0,0,0
U02261,I2502,2,2025/4/9 16:13,16,0,0,1,0,0,0
U03341,I0173,3,2025/4/10 1:13,1,0,0,1,1,0,0
U00390,I1833,2,2025/4/10 1:13,1,0,0,1,0,0,0
U02598,I0556,5,2025/4/10 4:13,4,0,0,1,1,1,1
U04339,I2245,2,2025/4/10 11:13,11,0,0,1,0,0,0
U02121,I2652,2,2025/4/10 16:13,16,0,0,1,0,0,0
U03346,I1781,2,2025/4/10 16:13,16,0,0,1,0,0,0
U04376,I0102,3,2025/4/10 23:13,23,0,0,1,1,0,0
U01796,I1939,2,2025/4/11 1:13,1,0,0,1,0,0,0
U03946,I2941,2,2025/4/11 4:13,4,0,0,1,0,0,0
U03846,I3302,3,2025/4/11 7:13,7,0,0,1,1,0,0
U01449,I0906,2,2025/4/11 7:13,7,0,0,1,0,0,0
U02552,I1175,1,2025/4/11 10:13,10,0,0,1,0,0,0
U02754,I0244,1,2025/4/11 13:13,13,0,0,1,0,0,0
U00829,I2836,1,2025/4/11 14:13,14,0,0,1,0,0,0
U01182,I2197,1,2025/4/11 14:13,14,0,0,1,0,0,0
U03337,I1924,3,2025/4/11 15:13,15,0,0,1,1,0,0
U02521,I3285,3,2025/4/11 15:13,15,0,0,1,1,0,0
U00696,I2028,2,2025/4/11 15:13,15,0,0,1,0,0,0
U04665,I3168,2,2025/4/11 16:13,16,0,0,1,0,0,0
U01727,I0140,1,2025/4/11 18:13,18,0,0,1,0,0,0
U02320,I3285,2,2025/4/11 20:13,20,0,0,1,0,0,0
U03868,I1381,1,2025/4/12 11:13,11,1,0,1,0,0,0
U02614,I3089,3,2025/4/12 13:13,13,1,0,1,1,0,0
U02946,I2068,2,2025/4/12 14:13,14,1,0,1,0,0,0
U02434,I0706,2,2025/4/12 23:13,23,1,0,1,0,0,0
U00040,I2556,2,2025/4/13 1:13,1,1,0,1,0,0,0
U01697,I1381,2,2025/4/13 4:13,4,1,0,1,0,0,0
U01595,I2503,3,2025/4/13 5:13,5,1,0,1,1,0,0
U03732,I1679,3,2025/4/13 5:13,5,1,0,1,1,0,0
U04526,I1830,1,2025/4/13 7:13,7,1,0,1,0,0,0
U01288,I2036,2,2025/4/13 9:13,9,1,0,1,0,0,0
U01181,I2002,2,2025/4/13 10:13,10,1,0,1,0,0,0
U02598,I2538,2,2025/4/13 11:13,11,1,0,1,0,0,0
U02777,I1517,2,2025/4/13 13:13,13,1,0,1,0,0,0
U02077,I1924,3,2025/4/13 14:13,14,1,0,1,1,0,0
U01438,I1933,5,2025/4/13 22:13,22,1,0,1,1,1,1
